codigo_municipio,municipio,uf,proporcao_haddad,proporcao_bolsonaro,votos_haddad,votos_bolsonaro,votos_validos
4118451,PATO BRAGADO,PR,0.213,0.787,724,2672,3396
4128708,VITORINO,PR,0.346,0.654,1406,2660,4066
4124707,SÃO JERÔNIMO DA SERRA,PR,0.566,0.434,3389,2596,5985
4107751,FIGUEIRA,PR,0.468,0.532,2275,2581,4856
4125407,SÃO JOSÉ DA BOA VISTA,PR,0.265,0.735,931,2580,3511
4107306,DOUTOR CAMARGO,PR,0.303,0.697,1118,2575,3693
4125357,SÃO JORGE DO PATROCÍNIO,PR,0.368,0.632,1485,2555,4040
4124608,SÃO CARLOS DO IVAÍ,PR,0.335,0.665,1284,2546,3830
4113007,JUSSARA,PR,0.372,0.628,1501,2535,4036
4120853,QUATRO PONTES,PR,0.139,0.861,404,2509,2913
4111555,IVATÉ,PR,0.416,0.584,1773,2493,4266
4119202,PINHALÃO,PR,0.389,0.611,1575,2479,4054
4111001,ITAMBARACÁ,PR,0.33,0.67,1218,2468,3686
4128807,XAMBRÊ,PR,0.392,0.608,1587,2461,4048
4111100,ITAMBÉ,PR,0.34,0.66,1267,2458,3725
4103057,BOA VISTA DA APARECIDA,PR,0.489,0.511,2348,2453,4801
4126355,SERRANÓPOLIS DO IGUAÇU,PR,0.281,0.719,948,2427,3375
4126108,SÃO TOMÉ,PR,0.3,0.7,1041,2426,3467
4125308,SÃO JORGE DO IVAÍ,PR,0.325,0.675,1160,2409,3569
4126405,SERTANEJA,PR,0.351,0.649,1303,2404,3707
4125753,SÃO PEDRO DO IGUAÇU,PR,0.39,0.61,1533,2398,3931
4108700,GRANDES RIOS,PR,0.328,0.672,1167,2393,3560
4109500,GUARAQUEÇABA,PR,0.485,0.515,2245,2380,4625
4128609,VERÊ,PR,0.56,0.44,3030,2378,5408
4117206,NOVA OLÍMPIA,PR,0.349,0.651,1270,2366,3636
4115309,MARIÓPOLIS,PR,0.432,0.568,1779,2341,4120
4117057,NOVA LARANJEIRAS,PR,0.615,0.385,3741,2340,6081
4117453,OURO VERDE DO OESTE,PR,0.356,0.644,1288,2331,3619
4109203,GUARACI,PR,0.319,0.681,1084,2310,3394
4106001,CONGONHINHAS,PR,0.545,0.455,2730,2281,5011
4108908,GUAIRAÇÁ,PR,0.393,0.607,1470,2267,3737
4107801,FLORAÍ,PR,0.348,0.652,1206,2256,3462
4119004,PÉROLA D'OESTE,PR,0.451,0.549,1851,2250,4101
4103206,BOM SUCESSO,PR,0.437,0.563,1714,2210,3924
4118600,PAULA FREITAS,PR,0.369,0.631,1285,2196,3481
4103008,BOA ESPERANÇA,PR,0.257,0.743,757,2192,2949
4122156,RIO BONITO DO IGUAÇU,PR,0.745,0.255,6412,2190,8602
4120358,PRANCHITA,PR,0.426,0.574,1607,2162,3769
4113734,LUIZIANA,PR,0.497,0.503,2129,2159,4288
4123857,SANTA MARIA DO OESTE,PR,0.633,0.367,3712,2156,5868
4107736,FERNANDES PINHEIRO,PR,0.494,0.506,2056,2104,4160
4111704,JABOTI,PR,0.322,0.678,982,2067,3049
4107538,ENTRE RIOS DO OESTE,PR,0.235,0.765,635,2062,2697
4114708,MARIA HELENA,PR,0.435,0.565,1574,2045,3619
4126900,TAPIRA,PR,0.42,0.58,1463,2017,3480
4122651,ROSÁRIO DO IVAÍ,PR,0.407,0.593,1380,2014,3394
4112207,JANIÓPOLIS,PR,0.469,0.531,1738,1965,3703
4110409,INDIANÓPOLIS,PR,0.315,0.685,903,1963,2866
4120101,PORTO AMAZONAS,PR,0.288,0.712,785,1939,2724
4107108,DIAMANTE DO NORTE,PR,0.391,0.609,1245,1939,3184
4127882,TUNAS DO PARANÁ,PR,0.478,0.522,1765,1931,3696
4126207,SAPOPEMA,PR,0.499,0.501,1901,1906,3807
4126702,TAMBOARA,PR,0.366,0.634,1098,1902,3000
4121604,RENASCENÇA,PR,0.539,0.461,2216,1894,4110
4107546,ESPIGÃO ALTO DO IGUAÇU,PR,0.391,0.609,1209,1886,3095
4115002,MARILENA,PR,0.547,0.453,2268,1877,4145
4110003,IGUARAÇU,PR,0.311,0.689,838,1858,2696
4124004,SANTANA DO ITARARÉ,PR,0.439,0.561,1438,1841,3279
4103479,CAFEZAL DO SUL,PR,0.365,0.635,1057,1841,2898
